"2-CUP-AP-160","2-030-05-1-24","霞総合研究棟 5F  医員室(503)"
"2-CUP-AP-161","2-030-05-1-23","霞総合研究棟 5F  医局(506)"
"2-CUP-AP-162","2-118-01-1-12","基礎講義棟 2F 大会議室(206)-1"
"2-CUP-AP-163","2-118-01-1-28","基礎講義棟 2F 大会議室(206)-2"
"2-CUP-AP-164","2-131-01-1-13","臨床講義棟 2F 学生自習室(239)"
"2-CUP-AP-165","2-159-03-1-05","基礎第2研究棟 2F 学生実験室(204)-1"
"2-CUP-AP-166","2-159-03-1-05","基礎第2研究棟 2F 学生実験室(204)-2"
"2-CUP-AP-167","2-159-03-1-05","基礎第2研究棟 2F 学生実験室(204)-3"
"2-CUP-AP-168","2-159-03-1-05","基礎第2研究棟 2F 学生実験室(204)-4"
"2-CUP-AP-169","2-150-02-6-48","臨床管理棟 2F 2F2会議室(281)"
"2-CUP-AP-170","2-150-03-7-46","臨床管理棟 3F 3F1会議室(364)"
"2-CUP-AP-171","2-150-03-7-47","臨床管理棟 3F 3F2会議室(365)"
"2-CUP-AP-172","2-150-03-7-48","臨床管理棟 3F 3F4会議室(382)"
"2-CUP-AP-173","2-082-06-1-48","霞研究棟A 6F 第7講義室(613)-1"
"2-CUP-AP-174","2-082-06-1-48","霞研究棟A 6F 第7講義室(613)-2"
"2-CUP-AP-175","2-082-06-1-48","霞研究棟A 6F 第7講義室(613)-3"
"2-CUP-AP-176","2-082-06-1-48","霞研究棟A 6F 第7講義室(613)-4"
"2-CUP-AP-178","2-082-04-1-47","霞研究棟A 4F 420前廊下(471)"
"2-CUP-AP-180","2-144-01-1-19","霞講義棟D 1F 第1実習室(101)-1"
"2-CUP-AP-181","2-144-01-1-20","霞講義棟D 1F 第1実習室(101)-2"
"2-CUP-AP-182","2-144-01-1-21","霞講義棟D 2F 第2実習室(201)-1"
"2-CUP-AP-183","2-144-01-1-22","霞講義棟D 2F 第2実習室(201)-2"
"2-CUP-AP-184","2-159-03-1-06","基礎第2研究棟 1F 学生実験室(105)-1"
"2-CUP-AP-185","2-159-03-1-06","基礎第2研究棟 1F 学生実験室(105)-2"
"2-CUP-AP-186","2-159-03-1-06","基礎第2研究棟 1F 学生実験室(105)-3"
"2-CUP-AP-187","2-159-03-1-06","基礎第2研究棟 1F 学生実験室(105)-4"
"2-CUP-AP-188","2-198-05-1-46","放射線先端医学実験棟 5F 講堂(501)-1"
"2-CUP-AP-189","2-198-05-1-47","放射線先端医学実験棟 5F 講堂(501)-2"
"2-CUP-AP-190","2-198-05-1-48","放射線先端医学実験棟 5F 会議室(504)"
"2-CUP-AP-193","2-144-05-1-24","霞研究棟B 5F 第3実習室(508)"
"2-CUP-AP-194","2-144-05-1-23","霞研究棟B 5F 第4実習室(510)"
"2-CUP-AP-197","2-119-01-1-48","基礎・社会医学棟 1F 事務室(123)"
"2-CUP-AP-198","2-199-02-1-48","放射線災害医療総合支援センター 1F トリアージ・除染・処置実習室(101)-1"
"2-CUP-AP-199","2-199-02-1-48","放射線災害医療総合支援センター 1F トリアージ・除染・処置実習室(101)-2"
"2-CUP-AP-200","2-199-02-1-48","放射線災害医療総合支援センター 2F 研修室(203)-1"
"2-CUP-AP-201","2-199-02-1-48","放射線災害医療総合支援センター 2F 研修室(203)-2"
"2-CUP-AP-202","2-199-02-1-48","放射線災害医療総合支援センター 2F 実習室(205)"
"2-CUP-AP-203","2-199-03-1-48","放射線災害医療総合支援センター 3F フリースペース1(303)-1"
"2-CUP-AP-204","2-199-03-1-48","放射線災害医療総合支援センター 3F フリースペース1(303)-2"
"2-CUP-AP-205","2-199-03-1-48","放射線災害医療総合支援センター 3F フリースペース1(303)-3"
"2-CUP-AP-206","2-199-03-1-48","放射線災害医療総合支援センター 4F 研修室1(402)-1"
"2-CUP-AP-207","2-199-03-1-48","放射線災害医療総合支援センター 4F 研修室1(402)-2"
"2-CUP-AP-208","2-199-03-1-48","放射線災害医療総合支援センター 4F 研修室1(402)-3"
"2-CUP-AP-209","2-199-03-1-47","放射線災害医療総合支援センター 4F 研修室1(402)-4"
"2-CUP-AP-210","2-199-03-1-46","放射線災害医療総合支援センター 4F 研修室2(403)"
"2-CUP-AP-211","2-199-03-1-45","放射線災害医療総合支援センター 4F 研修室3前の廊下(473)"
"2-CUP-AP-212","2-200-01-1-48","凌雲棟 1F 学生スペース1(101)-1"
"2-CUP-AP-213","2-200-01-1-47","凌雲棟 1F 学生スペース1(101)-2"
"2-CUP-AP-214","2-200-01-1-46","凌雲棟 1F 教員控室(103)"
"2-CUP-AP-215","2-200-01-1-45","凌雲棟 1F 学生スペース2(105)"
"2-CUP-AP-216","2-200-01-1-44","凌雲棟 2F 講義室1(201)"
"2-CUP-AP-217","2-200-01-1-43","凌雲棟 2F 講義室2(202)"
"2-CUP-AP-218","2-200-01-1-42","凌雲棟 2F 講義室3(203)"
"2-CUP-AP-219","2-200-01-1-41","凌雲棟 2F 講義室4(204)-1"
"2-CUP-AP-220","2-200-01-1-40","凌雲棟 2F 講義室4(204)-2"
"2-CUP-AP-221","2-200-01-1-39","凌雲棟 2F 講義室4(204)-3"
"2-CUP-AP-222","2-200-03-1-48","凌雲棟 3F 講義室1(301)"
"2-CUP-AP-223","2-200-03-1-47","凌雲棟 3F 講義室2(302)"
"2-CUP-AP-224","2-200-03-1-46","凌雲棟 3F 講義室3(303)"
"2-CUP-AP-225","2-200-03-1-45","凌雲棟 3F 講義室4(304)-1"
"2-CUP-AP-226","2-200-03-1-44","凌雲棟 3F 講義室4(304)-2"
"2-CUP-AP-227","2-200-03-1-43","凌雲棟 3F 講義室4(304)-3"
"2-CUP-AP-228","2-200-03-1-42","凌雲棟 4F 講義室1(401)"
